,step,date,balance,shares_held,total_shares_sold,cost_basis,total_sales_value,net_worth,max_net_worth,cur_reward,cur_action,profit
0,824,2001-04-10,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.08300000000000002,[0.00065623 0.00043019],0.0
1,825,2001-04-11,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.16600000000000004,[0.00061281 0.00046615],0.0
2,826,2001-04-12,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.2489999999999999,[0.0007291  0.00043516],0.0
3,827,2001-04-16,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.3320000000000001,[0.00060307 0.00038758],0.0
4,828,2001-04-17,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.4150000000000005,[0.00060426 0.0003805 ],0.0
5,829,2001-04-18,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.4979999999999998,[0.00067205 0.00044637],0.0
6,830,2001-04-19,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.581,[0.00070929 0.00048596],0.0
7,831,2001-04-20,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.6640000000000001,[0.00070731 0.00050337],0.0
8,832,2001-04-23,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.7470000000000003,[0.00070186 0.00042131],0.0
9,833,2001-04-24,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.830000000000001,[0.0005299  0.00036146],0.0
10,834,2001-04-25,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.9130000000000011,[0.00047248 0.00035207],0.0
11,835,2001-04-26,9960.0,0,0,0.0,0.0,9960.0,9960.0,0.9959999999999996,[0.00063936 0.00042606],0.0
12,836,2001-04-27,9960.0,0,0,0.0,0.0,9960.0,9960.0,1.0789999999999997,[0.00066955 0.00049127],0.0
13,837,2001-04-30,9960.0,0,0,0.0,0.0,9960.0,9960.0,1.162,[0.00062519 0.00056797],0.0
14,838,2001-05-01,9960.0,0,0,0.0,0.0,9960.0,9960.0,1.245,[2.402   0.09186],0.0
