,step,date,balance,shares_held,total_shares_sold,cost_basis,total_sales_value,net_worth,max_net_worth,cur_reward,cur_action,profit
0,1,1998-01-05,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.008333333333333338,[2.441  0.1444],0.0
1,2,1998-01-06,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.016666666666666677,[1.499 0.825],0.0
2,3,1998-01-07,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.024999999999999994,[2.645 0.269],0.0
3,4,1998-01-08,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.033333333333333354,[2.383  0.6284],0.0
4,5,1998-01-09,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.041666666666666685,"[0, 0]",0.0
5,6,1998-01-12,948.6656751403028,5,0,10.266864971939437,0.0,1000.0,1000.0,0.04743328375701511,[0.706   0.05835],0.0
6,7,1998-01-13,948.6656751403028,5,0,10.266864971939437,0.0,999.3008609351557,1000.0,-0.643800233794452,[2.266  0.9736],-0.699139064844303
7,8,1998-01-14,948.6656751403028,5,0,10.266864971939437,0.0,1001.5884450353692,1001.5884450353692,1.6516894137118914,[1.053   0.12335],1.5884450353692046
8,9,1998-01-15,790.4476133934068,20,0,10.477619330329665,0.0,1001.4050290559348,1001.5884450353692,1.4643126269393525,[0.3193 0.1692],1.4050290559348468
9,10,1998-01-16,261.37148259790104,70,0,10.55183596288713,0.0,1002.078065711609,1002.078065711609,2.0998466684922006,[0.1034 0.6836],2.0780657116090424
10,11,1998-01-20,304.4565573035923,66,4,10.55183596288713,43.085074705691284,1015.3602899474986,1015.3602899474986,15.388198465251415,[1.535  0.0617],15.360289947498586
11,12,1998-01-21,304.4565573035923,66,4,10.55183596288713,43.085074705691284,1032.6791154337227,1032.6791154337227,32.70956108945306,[2.242 0.954],32.6791154337227
12,13,1998-01-22,161.61886583787273,79,4,10.623529936914812,43.085074705691284,1029.6325293603225,1032.6791154337227,29.65003807078822,[0.8623 0.4893],29.63252936032245
13,14,1998-01-23,161.61886583787273,79,4,10.623529936914812,43.085074705691284,1036.01692725934,1036.01692725934,36.03578279368779,[0.365   0.01628],36.01692725934004
14,15,1998-01-26,461.0217934086759,52,31,10.623529936914812,342.48800227649446,1037.649653915408,1037.649653915408,37.70728163958403,[1.55   0.3435],37.64965391540795
15,16,1998-01-27,461.0217934086759,52,31,10.623529936914812,342.48800227649446,1049.6914325565622,1049.6914325565622,49.75290212901667,[2.895   0.05875],49.69143255656218
16,17,1998-01-28,461.0217934086759,52,31,10.623529936914812,342.48800227649446,1055.9048645555674,1055.9048645555674,55.970175976300325,"[0, 0]",55.90486455556743
17,18,1998-01-29,956.2785136837751,10,73,10.623529936914812,837.7447225515937,1074.1967804159417,1074.1967804159417,74.34022219299426,[1.397 0.82 ],74.1967804159417
18,19,1998-01-30,1039.62634082009,3,80,10.623529936914812,921.0925496879086,1075.346838164225,1075.346838164225,75.51144566818807,[1.931  0.7905],75.34683816422489
19,20,1998-02-02,585.7251275164964,41,80,11.848092758886294,921.0925496879086,1075.4606471335317,1075.4606471335317,75.55826798811775,[0.914 0.437],75.46064713353167
